"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
30.0,0.0,0.0%,-,4.0,289,"13,164",Abu Snan
30.0,0.0,0.0%,139,212.0,"7,030","241,010",Rishon Lezion
30.0,0.0,0.0%,18,31.0,"1,038","43,811",Nof Ha'Galil
29.0,0.0,0.0%,8,14.0,364,"20,831",Kadima Zoran
28.0,0.0,0.0%,2,5.0,140,"10,532",Basmaa
28.0,0.0,0.0%,6,9.0,239,"10,600",Kiryat Ekron
28.0,0.0,0.0%,11,19.0,724,"29,035",Baqa al-Gharbiya
27.0,0.0,0.0%,30,42.0,"1,332","44,896",Ramat HaSharon
26.0,0.0,0.0%,25,37.0,"1,230","45,555",Yavne
26.0,0.0,0.0%,80,116.0,"4,181","137,178",Rehovot
26.0,0.0,0.0%,3,5.0,182,"7,771",Alfei Menashe
25,0,0.0%,3,5,340,"7,856",Tzur Hadassah
25,0,0.0%,4,6,158,"7,906",Karnei Shomron
25,0,0.0%,37,56,"1,840","75,246",Ramla
25,3,25.0%,7,15,809,"32,089",Sakhnin
25,0,0.0%,1,4,769,"12,102","Kabul, Israel"
25,0,0.0%,45,69,"2,647","97,412",Kfar Saba
24,1,4.3%,12,24,"1,431","50,872",Acre
23,0,0.0%,3,5,240,"8,822",Oranit
23,0,0.0%,19,27,922,"35,377",Dimona
23,1,7.1%,10,15,389,"22,152",Kiryat Shmona
22,1,6.3%,12,17,434,"22,243",Tirat Carmel
22,0,0.0%,3,6,236,"13,388",Ein Mahil
22,0,0.0%,29,50,"2,352","94,104",Hadera
22,1,4.0%,21,26,627,"22,410",Gan Yavne
22,0,0.0%,1,6,683,"22,740",Clanswa
22,0,0.0%,28,41,"1,394","59,171",Hod HaSharon
21,2,11.8%,12,19,859,"33,792",Tamra
20,1,7.1%,7,15,"1,176","39,262",Kiryat Bialik
20,0,0.0%,9,12,454,"14,949",Mazkeret Batya
20,0,0.0%,8,16,672,"40,622",Pardes Hanna-Karkur
18,1,4.5%,13,23,"1,133","56,568",Eilat
18,2,14.3%,12,16,385,"22,711",Yokneam
18,0,0.0%,11,19,"1,161","45,714",Ness Ziona
16,0,0.0%,1,2,86,"6,147",Jules
16,0,0.0%,1,2,284,"6,288",Hurfeish
16,0,0.0%,16,25,"1,258","57,108",Kiryat Ata
15,0,0.0%,3,7,510,"25,876",Arraba
15,0,0.0%,-,1,175,"6,514",Jan-Jat
15,0,0.0%,7,19,"1,172","78,252",Nazareth
15,0,0.0%,4,5,163,"6,533",Beit Dagan
15,0,0.0%,3,7,769,"26,184",Tiraa
15,0,0.0%,-,1,73,"6,648",Tuba-Zangaria
14,0,0.0%,6,12,"1,588","42,870",Kiryat Motzkin
14,0,0.0%,2,3,188,"7,236",Ramat Yishai
14,0,0.0%,2,5,"1,138","22,032",Nesher
14,0,0.0%,-,2,243,"14,695",Lakiya
13,0,0.0%,10,13,356,"22,261",Ma'alot-Tarshiha
13,0,0.0%,12,15,841,"23,093",Mevaseret Zion
13,0,0.0%,1,2,425,"7,792",Abu Ghosh
13,1,25.0%,3,5,344,"15,831",Kiryat Tiv'on
12,0,0.0%,1,2,173,"8,241",Ilut
12,0,0.0%,-,1,33,"8,446",Abu Rubeya (tribe)
10,0,0.0%,2,3,188,"9,722",Hatzor HaGlilit
10,0,0.0%,1,2,136,"9,974",Buayne-Nujidat
10,0,0.0%,3,7,842,"40,666",Shefa-'Amr
10,0,0.0%,-,2,251,"20,524",Jadeida-acquaintance
9,1,12.5%,7,9,417,"22,364",Maghar
8,0,0.0%,3,4,451,"12,141",Isfiya
6,0,0.0%,-,1,673,"15,418",Yarka
6,0,0.0%,-,1,36,"16,644",Masudin al-Azazma
5,0,0.0%,5,6,505,"18,820",Kafr Qara
5,0,0.0%,2,3,306,"18,893",Or Akiva
5,0,0.0%,4,5,322,"19,056",Yafa an-Naseriyye
5,0,0.0%,1,2,259,"19,058",Beit She'an
-,0,0.0%,-,-,296,"20,003",Kafr Manda
-,0,0.0%,1,1,158,"19,850",Tel as-Sabi
-,0,0.0%,2,2.1,623,"19,667",Ar'ara
-,6.0,100.0%,-,12,445.0,"17,465",Ar'arat an-Naqab
-,0.0,0.0%,-,-,184.0,"16,993",Daliyat al-Karmel
-,0.0,0.0%,7,7,232.0,"16,957",Kuseife
-,0.0,0.0%,-,-,175.0,"16,614",Reina
-,0.0,0.0%,-,-,221.0,"14,398",Tur'an
-,0.0,0.0%,2,2,167.0,"14,383",Binyamina-Givat Ada
-,0.0,0.0%,-,-,279.0,"13,062",I'billin
-,0.0,0.0%,-,-,147.0,"11,757",Beit Jan
-,0.0,0.0%,1,1,185.0,"11,089",Majdal Shams
-,0.0,0.0%,3,3,499.0,"10,577",Kafr Yasif
-,0.0,0.0%,-,-,48.0,"10,310",Shaqib al-Salam
-,0.0,0.0%,-,-,31.0,"10,149",Self (tribe)
-,0.0,0.0%,-,-,36.0,"9,696",Abu Rukake (tribe)
-,0.0,0.0%,-,-,77.0,"8,649",Mashhad
-,0.0,0.0%,-,-,85.0,"8,550",Kisra-Sumei
-,0.0,0.0%,-,-,76.0,"8,385",Zarzir
-,0.0,0.0%,1,1,256.0,"8,243",Rama
-,0.0,0.0%,2,2,119.0,"7,833",Basmat Tab'un
-,0.0,0.0%,5,5,193.0,"7,442",Atlit
-,0.0,0.0%,3,3,250.0,"6,926",Zemer
-,0.0,0.0%,5,5,229.0,"6,837",Bnei Aish
-,0.0,0.0%,2,2,75.0,"6,586",Buq'ata
-,0.0,0.0%,-,-,18.0,"6,235",Abu Qurinath (tribe)
-,0.0,0.0%,1,1,525.0,"6,027",Pardesiya
-,0.0,0.0%,-,-,33.0,"5,780",Kaabaya-Tabash
-,0.0,0.0%,1,1,174.0,"5,124",Hajjara Bat Hefer
