"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
0,0,0.0%,2,Less than 15,812,"19,667",Ar'ara
0,0,0.0%,2,Less than 15,282,"19,058",Beit She'an
0,0,0.0%,4,Less than 15,367,"19,056",Yafa an-Naseriyye
0,0,0.0%,2,Less than 15,386,"18,893",Or Akiva
0,4,66.7%,6,Less than 15,596,"18,820",Kafr Qara
0,0,0.0%,8,Less than 15,680,"18,251",Ariel
0,0,0.0%,7,Less than 15,350,"16,957",Kuseife
0,0,0.0%,-,Less than 15,62,"16,644",Masudin al-Azazma
0,0,0.0%,4,Less than 15,433,"15,831",Kiryat Tiv'on
0,0,0.0%,1,Less than 15,907,"15,418",Yarka
0,0,0.0%,9,Less than 15,507,"14,949",Mazkeret Batya
0,0,0.0%,5,Less than 15,380,"14,861",Ma'ale Iron
0,0,0.0%,-,Less than 15,283,"14,695",Lakiya
0,0,0.0%,4,Less than 15,340,"14,655",Iksal
0,1,50.0%,2,Less than 15,300,"14,383",Binyamina-Givat Ada
0,0,0.0%,3,Less than 15,277,"13,388",Ein Mahil
0,0,0.0%,6,Less than 15,524,"13,167",Nahaf
0,0,0.0%,-,Less than 15,362,"13,164",Abu Snan
0,0,0.0%,3,Less than 15,490,"13,133",Fureidis
0,0,0.0%,13,Less than 15,758,"12,593",Tel Mond
0,0,0.0%,4,Less than 15,547,"12,141",Isfiya
0,0,0.0%,3,Less than 15,783,"12,102","Kabul, Israel"
0,0,0.0%,1,Less than 15,304,"11,089",Majdal Shams
0,0,0.0%,8,Less than 15,316,"10,600",Kiryat Ekron
0,0,0.0%,3,Less than 15,576,"10,577",Kafr Yasif
0,0.1,0.0%,9,Less than 15,438,"10,567",Deir Hanna
0,0,0.0%,4,Less than 15,377,"10,532",Basmaa
0,0,0.0%,4,Less than 15,253,"10,126",Yeruham
0,0,0.0%,4,Less than 15,439,"10,011",Jaljulia
0,0,0.0%,2,Less than 15,202,"9,974",Buayne-Nujidat
0,0,0.0%,2,Less than 15,172,"9,866",Bir al-Maksur
0,0,0.0%,3,Less than 15,238,"9,722",Hatzor HaGlilit
0,0,0.0%,7,Less than 15,404,"9,143",Kokhav Ya'ir
0,0,0.0%,2,Less than 15,460,"9,043",Meiter
0,0,0.0%,3,Less than 15,286,"8,822",Oranit
0,0,0.0%,-,Less than 15,62,"8,446",Abu Rubeya (tribe)
0,0,0.0%,1,Less than 15,280,"8,243",Rama
0,0,0.0%,1,Less than 15,197,"8,241",Ilut
0,0,0.0%,6,Less than 15,324,"8,016",Omer
0,0,0.0%,5,Less than 15,216,"7,906",Karnei Shomron
0,0,0.0%,5,Less than 15,481,"7,856",Tzur Hadassah
0,0,0.0%,2,Less than 15,132,"7,833",Basmat Tab'un
0,0,0.0%,1,Less than 15,418,"7,792",Abu Ghosh
0,0,0.0%,3,Less than 15,220,"7,771",Alfei Menashe
0,0,0.0%,5,Less than 15,241,"7,442",Atlit
0,0,0.0%,8,Less than 15,275,"7,364",Kiryat Arba
0,0,0.0%,2,Less than 15,215,"7,236",Ramat Yishai
0,0,0.0%,1,Less than 15,"1,290","7,191","Sha'ab, Israel"
0,0,0.0%,3,Less than 15,284,"6,926",Zemer
0,0,0.0%,5,Less than 15,454,"6,837",Bnei Aish
0,0,0.0%,-,Less than 15,91,"6,648",Tuba-Zangaria
0,0,0.0%,2,Less than 15,129,"6,586",Buq'ata
0,0,0.0%,5,Less than 15,190,"6,533",Beit Dagan
0,0.1,0.0%,1,Less than 15,226,"6,514",Jan-Jat
0,0,0.0%,5,Less than 15,259,"6,478",Shlomi
0,1,11.1%,7,Less than 15,321,"6,367",ShibliUmm al-Ghanam
0,0,0.0%,1,Less than 15,305,"6,288",Hurfeish
0,0,0.0%,5,Less than 15,291,"6,178",Lehavim
0,0,0.0%,1,Less than 15,136,"6,147",Jules
0,0,0.0%,1,Less than 15,563,"6,027",Pardesiya
0,0,0.0%,2,Less than 15,202,"5,954",Tzur Itzhak
0,0,0.0%,8,Less than 15,194,"5,767",Beit El
0,0,0.0%,6,Less than 15,479,"5,677",Eilabun
0,0,0.0%,4,Less than 15,165,"5,599",Kfar Vradim
0,0,0.0%,2,Less than 15,157,"5,584",Sha'arei Tikva
0,0,0.0%,7,Less than 15,222,"5,299",Geva Binyamin
0,0,0.0%,1,Less than 15,169,"5,272",Caesarea Maritima
0,0,0.0%,1,Less than 15,194,"5,124",Bat Hefer
0,0,0.0%,3,Less than 15,214,"4,981",Beit Aryeh-Ofarim
-,0,0.0%,-,0,332,"20,003",Kafr Manda
-,0,0.0%,-,0,252,"16,993",Daliyat al-Karmel
-,0,0.0%,-,0,222,"16,614",Reina
-,0,0.0%,-,0,263,"14,398",Tur'an
-,0,0.0%,-,0,315,"13,062",I'billin
-,0,0.0%,-,0,207,"11,757",Beit Jan
-,0,0.0%,-,0,118,"10,310",Shaqib al-Salam
-,0,0.0%,-,0,45,"10,149",Self (tribe)
-,0,0.0%,-,0,58,"9,696",Abu Rukake (tribe)
-,0,0.0%,-,0,108,"8,649",Mashhad
-,0,0.0%,-,0,196,"8,550",Kisra-Sumei
-,0,0.0%,-,0,114,"8,385",Zarzir
"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The rate of increase of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
99,-,0%,12,21,316,"9,055",SHOREK River
94,-,0%,48,60,869,"12,797",Merhavim Regional Council
88,-,0%,69,82,"1,069","14,844",Fields of Dan
85,-,0%,22,30,506,"9,359",Mount Hebron
73,-,0%,45,62,"1,148","23,359",Gush Etzion
60,-,0%,131,171,"2,952","66,810",Headquarters Benjamin
53,-,0%,16,25,519,"16,939",Golan
47,-,0%,14,19,381,"10,681",Shafir
41,-,0%,19,25,488,"14,745",From the top of the roll
39,3,5%,45,62,"1,431","43,420",Samaria
38,-,0%,12,20,734,"20,925",Modi'in
35,-,0%,32,50,"2,837","51,529",Jewish
26,-,0%,17,20,507,"11,754",The lower cylinder
19,-,0%,15,22,"1,151","37,143",Jezreel Valley
18,-,0%,16,19,573,"16,895",Ashkelon
16,-,0%,31,36,"1,044","30,459",Southern Sharon
14,-,0%,14,17,734,"21,072",Be'er Tuvia
14,-,0%,12,16,779,"28,645",Carmel Beach
14,-,0%,15,18,572,"21,541",Lev Hasharon
11,-,0%,25,29,"1,033","37,647",Hefer Valley
0,-,0%,-,Less than 15,322,"58,845",Oasis
0,-,0%,6,Less than 15,773,"29,809",Mount Gilboa
0,-,0%,5,Less than 15,791,"28,148",Down which
0,-,0%,8,Less than 15,649,"27,895",Misgav Regional Council
0,-,0%,5,Less than 15,761,"25,890",Bedouin carrots without affiliation
0,10,100%,-,Less than 15,226,"25,372",permission
0,-,0%,3,Less than 15,"1,024","17,472",Menashe
0,-,0%,3,Less than 15,396,"16,900",Upper Galilee
0,-,0%,4,Less than 15,264,"13,717",Cluster
0,-,0%,9,Less than 15,358,"13,073",Jordan Valley
0,-,0%,3,Less than 15,254,"12,871",the valley of Springs
0,-,0%,3,Less than 15,567,"12,278",Zevulun
0,-,0%,1,Less than 15,111,"11,853",To a magical god
0,-,0%,9,Less than 15,362,"11,564",Lakhish
0,-,0%,8,Less than 15,327,"11,163",Sharon Beach
0,-,0%,4,Less than 15,252,"10,506",Ma&#39;ale Yosef
0,-,0%,7,Less than 15,387,"10,205",Negev fields
0,-,0%,4,Less than 15,313,"9,799",Bnei Shimon
0,-,0%,-,Less than 15,193,"8,293",Bustan al-Marge
0,-,0%,3,Less than 15,225,"8,194",Yoav
0,-,0%,1,Less than 15,128,"8,099",Al-Battoff
0,-,0%,1,Less than 15,169,"7,428",Brenner
0,-,0%,2,Less than 15,165,"7,332",Sha&#39;ar Hanegev
0,-,0%,-,Less than 15,163,"6,984",The Hermon introduction
0,-,0%,2,Less than 15,124,"6,557",Ramat Negev
0,-,0%,7,Less than 15,275,"5,522",Rave Garden
0,-,0%,1,Less than 15,174,"5,428",It is a pity to build
0,-,0%,1,Less than 15,94,"5,430",Jordan guarantee
-,-,0%,-,0,195,"11,107",Megiddo
