"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Infected,Several subjects so far,Population as of 2018,City
29,1,4.8%,7,22,"1,210","50,872",Acre
29,0,0.0%,3,5,225,"6,837",Bnei Aish
29,0,0.0%,29,42,"1,316","44,896",Ramat HaSharon
29,0,0.0%,8,14,360,"20,831",Kadima Zoran
28,0,0.0%,2,5,135,"10,532",Basmaa
28,0,0.0%,7,10,326,"10,567",Deir Hanna
28,0,0.0%,6,9,226,"10,600",Kiryat Ekron
28,0,0.0%,17,27,901,"35,377",Dimona
27,0,0.0%,20,36,"1,868","58,750",Nahariya
27,0,0.0%,19,25,616,"22,410",Gan Yavne
27,4,100.0%,2,8,578,"22,449",Kafr Kanna
26,0,0.0%,3,5,179,"7,771",Alfei Menashe
26,2,4.0%,28,52,"2,031","94,104",Hadera
25,0,0.0%,3,5,325,"7,856",Tzur Hadassah
25,0,0.0%,26,41,"1,365","59,171",Hod HaSharon
24,0,0.0%,10,13,694,"12,593",Tel Mond
23,0,0.0%,3,5,235,"8,822",Oranit
22,3,100.0%,1,6,671,"22,740",Clanswa
22,3,33.3%,5,12,731,"32,089",Sakhnin
22,0,0.0%,10,15,769,"23,093",Mevaseret Zion
21,0,0.0%,10,17,728,"33,792",Tamra
20,0,0.0%,9,12,448,"14,949",Mazkeret Batya
20,1,6.7%,8,16,652,"40,622",Pardes Hanna-Karkur
19,0,0.0%,10,21,"1,103","56,568",Eilat
19,1,20.0%,1,6,485,"25,876",Arraba
19,2,40.0%,2,7,747,"26,184",Tiraa
18,0,0.0%,11,15,426,"22,243",Tirat Carmel
18,1,8.3%,9,13,336,"22,261",Ma'alot-Tarshiha
18,0,0.0%,3,4,120,"5,599",Kfar Vradim
18,0,0.0%,6,13,"1,150","39,262",Kiryat Bialik
18,3,0.0%,0,3,122,"16,983",Hura
18,0,0.0%,11,19,"1,129","45,714",Ness Ziona
16,0,0.0%,2,4,442,"12,141",Isfiya
16,0,0.0%,1,2,76,"6,147",Jules
16,0,0.0%,3,6,502,"18,820",Kafr Qara
16,0,0.0%,1,2,272,"6,288",Hurfeish
15,0,0.0%,0,1,80,"6,514",Jan-Jat
15,0,0.0%,7,19,"1,136","78,252",Nazareth
15,0,0.0%,4,5,159,"6,533",Beit Dagan
15,0,0.0%,0,1,70,"6,648",Tuba-Zangaria
14,0,0.0%,2,5,"1,134","22,032",Nesher
14,0,0.0%,0,2,231,"14,695",Lakiya
13,0,0.0%,5,8,371,"22,364",Maghar
13,0,0.0%,1,2,173,"7,792",Abu Ghosh
12,0,0.0%,15,22,"1,217","57,108",Kiryat Ata
12,0,0.0%,1,2,171,"8,241",Ilut
12,0,0.0%,0,1,30,"8,446",Abu Rubeya (tribe)
12,0,0.0%,6,11,"1,553","42,870",Kiryat Motzkin
11,0,0.0%,1,3,294,"18,893",Or Akiva
10,0,0.0%,0,2,248,"19,058",Beit She'an
10,0,0.0%,2,3,180,"9,722",Hatzor HaGlilit
10,0,0.0%,1,2,134,"9,974",Buayne-Nujidat
10,0,0.0%,3,7,646,"40,666",Shefa-'Amr
10,0,0.0%,0,2,228,"20,524",Jadeida-acquaintance
9,0,0.0%,12,14,372,"22,711",Yokneam
6,0,0.0%,0,1,630,"15,418",Yarka
6,0,0.0%,3,4,328,"15,831",Kiryat Tiv'on
6,0,0.0%,0,1,29,"16,644",Masudin al-Azazma
6,0,0.0%,6,7,224,"16,957",Kuseife
5,0,0.0%,4,5,309,"19,056",Yafa an-Naseriyye
0,0,0.0%,1,1.1,146,"19,850",Tel as-Sabi
0,0.0,0.0%,2,2,617.0,"19,667",Ar'ara
0,2.0,0.0%,0,6,430.0,"17,465",Ar'arat an-Naqab
0,0.0,0.0%,2,2,163.0,"14,383",Binyamina-Givat Ada
0,0.0,0.0%,1,1,177.0,"11,089",Majdal Shams
0,0.0,0.0%,3,3,474.0,"10,577",Kafr Yasif
0,0.0,0.0%,1,1,250.0,"8,243",Rama
0,0.0,0.0%,2,2,118.0,"7,833",Basmat Tab'un
0,0.0,0.0%,5,5,189.0,"7,442",Atlit
0,0.0,0.0%,2,2,187.0,"7,236",Ramat Yishai
0,0.0,0.0%,3,3,244.0,"6,926",Zemer
0,0.0,0.0%,2,2,70.0,"6,586",Buq'ata
0,0.0,0.0%,1,1,523.0,"6,027",Pardesiya
0,0.0,0.0%,1,1,173.0,"5,124",Hajjara Bat Hefer
