"Actual ** to 100,000",Of verified patients,In the last 3 days,A number of recoverers,Verified Petients,Number of subjects,Population as of 2018,City
88.47,100.0%,0.0%,0,8,394,"9,043",Meiter
87.76,20.0%,0.0%,3,6,438,"6,837",Bnei Aish
84.8,11.1%,0.0%,15,30,853,"35,377",Dimona
84.12,11.8%,1.1%,61,180,"4,599","213,971",Netanya
81.65,15.5%,0.9%,49,112,"3,568","137,178",Rehovot
81.22,15.6%,5.7%,15,37,"1,195","45,555",Yavne
80.07,13.0%,4.0%,35,78,"2,485","97,412",Kfar Saba
77.76,6.3%,0.0%,51,153,"5,779","196,755",Be'er Sheva
77.21,20.0%,0.0%,4,6,178,"7,771",Alfei Menashe
75.98,20.6%,10.8%,10,41,"1,560","53,965",Rosh Ha'ayin
73.04,18.5%,0.0%,11,32,"1,308","43,811",Nof Ha'Galil
72.33,16.7%,0.0%,5,21,"1,004","29,035",Baqa al-Gharbiya
71.44,33.3%,0.0%,3,4,125,"5,599",Kfar Vradim
70.99,18.8%,5.6%,4,19,410,"26,763",Arad
70.75,11.4%,8.3%,19,39,"1,696","55,123",Givatayim
70.4,11.4%,2.6%,16,39,"1,223","55,400",Kiryat Gat
69.92,40.0%,0.0%,0,7,291,"10,011",Jaljulia
67.21,0.0%,0.0%,6,14,506,"20,831",Kadima Zoran
67.18,0.0%,0.0%,1,4,147,"5,954",Tzur Itzhak
66.89,0.0%,0.0%,9,10,456,"14,949",Mazkeret Batya
66.05,7.1%,7.1%,10,15,412,"22,711",Yokneam
65.75,50.0%,9.1%,2,12,516,"18,251",Ariel
65.72,0.0%,0.0%,5,14,548,"21,301",Kfar Yona
64.97,121.1%,16.7%,4,42,"1,501","64,649",Rahat
64.95,15.4%,0.0%,8,15,739,"23,093",Mevaseret Zion
63.78,36.4%,7.1%,1,15,891,"23,517",Kafr Qasim
63.65,0.0%,0.0%,4,5,308,"7,856",Tzur Hadassah
63.2,16.7%,7.7%,5,14,494,"22,152",Kiryat Shmona
62.94,0.0%,0.0%,8,14,423,"22,243",Tirat Carmel
62.53,2.8%,2.8%,17,37,"1,352","59,171",Hod HaSharon
61.72,100.0%,50.0%,2,6,191,"9,722",Hatzor HaGlilit
61.23,0.0%,0.0%,3,4,153,"6,533",Beit Dagan
60.56,12.5%,0.0%,2,9,259,"14,861",Ma'ale Iron
59.25,20.0%,20.0%,0,6,191,"10,126",Yeruham
58.4,18.2%,0.0%,8,13,381,"22,261",Ma'alot-Tarshiha
58.15,9.5%,0.0%,10,23,863,"39,556",Kiryat Yam
57.23,25.0%,0.0%,1,5,268,"8,737",Harish
55.76,11.8%,4.1%,49,152,"5,736","272,584",Haifa
54.47,14.3%,3.2%,15,32,"1,241","58,750",Nahariya
53.72,50.0%,0.0%,0,3,113,"5,584",Sha'arei Tikva
50.68,0.0%,0.0%,0,5,137,"9,866",Bir al-Maksur
47.77,16.7%,0.0%,1,7,286,"14,655",Iksal
47.35,0.0%,0.0%,8,16,753,"33,792",Tamra
45.94,16.7%,5.0%,5,21,"1,148","45,714",Ness Ziona
45.69,200.0%,50.0%,1,6,398,"13,133",Fureidis
45.57,50.0%,20.0%,1,6,398,"13,167",Nahaf
45.34,33.3%,33.3%,1,4,223,"8,822",Oranit
43.32,0.0%,0.0%,1,3,203,"6,926",Zemer
42.43,20.0%,4.3%,8,24,"1,096","56,568",Eilat
41.28,0.0%,1  .,5,7,207,"16,957",Kuseife
41.28,23.5%,5.0%,5,21,811,"50,872",Acre
40.75,33.3%,6.7%,6,16,"1,150","39,262",Kiryat Bialik
40.38,8.6%,0.0%,19,38,"1,778","94,104",Hadera
37.94,100.0%,0.0%,0,2,129,"5,272",Caesarea Maritima
37.35,66.7%,0.0%,1,5,218,"13,388",Ein Mahil
37.05,16.7%,0.0%,0,7,301,"18,893",Or Akiva
36.77,5.0%,0.0%,10,21,"1,131","57,108",Kiryat Ata
36.73,133.3%,75.0%,3,7,282,"19,056",Yafa an-Naseriyye
35.77,0.0%,0.0%,4,8,359,"22,364",Maghar
34.77,50.0%,36.4%,3,15,890,"43,144",Tayibe
33.18,0.0%,0.0%,1,2,170,"6,027",Pardesiya
33.05,100.0%,100.0%,0,4,643,"12,102","Kabul, Israel"
32.95,0.0%,0.0%,1,4,487,"12,141",Isfiya
32.54,0.0%,0.0%,1,2,78,"6,147",Jules
31.88,0.0%,0.0%,1,6,482,"18,820",Kafr Qara
31.81,0.0%,0.0%,1,2,267,"6,288",Hurfeish
30.37,0.0%,0.0%,2,2,80,"6,586",Buq'ata
30.08,50.0%,0.0%,1,3,170,"9,974",Buayne-Nujidat
28.48,0.0%,0.0%,1,3,307,"10,532",Basmaa
28.36,50.0%,0.0%,2,3,166,"10,577",Kafr Yasif
27.99,20.0%,0.0%,5,12,"1,666","42,870",Kiryat Motzkin
27.81,0.0%,0.0%,0,2,321,"7,191","Sha'ab, Israel"
27.64,0.0%,0.0%,2,2,189,"7,236",Ramat Yishai
27.08,10.0%,0.0%,5,11,971,"40,622",Pardes Hanna-Karkur
26.87,0.0%,0.0%,2,2,171,"7,442",Atlit
25.53,0.0%,0.0%,2,2,129,"7,833",Basmat Tab'un
24.93,14.3%,0.0%,3,8,680,"32,089",Sakhnin
24.27,0.0%,100.0%,0,2,126,"8,241",Ilut
22.79,200.0%,50.0%,0.0,3.0,149,"13,164",Abu Snan
22.69,0.0%,0.0%,3.0,5.0,526,"22,032",Nesher
20.86,0.0%,0.0%,1.0,3.0,246,"14,383",Binyamina-Givat
20.45,45.5%,6.7%,5.0,16.0,"1,007","78,252",Ada Nazareth
19.64,0.0%,50.0%,0.0,3.0,775,"15,275",Majd al-Krum
19.52,0.0%,0.0%,1.0,1.0,178,"5,124",Bat Hefer
19.1,25.0%,0.0%,1.0,5.0,697,"26,184",Tiraa
18.95,0.0%,0.0%,3.0,3.0,333,"15,831",Kiryat Tiv'on
17.82,100.0%,33.3%,0.0,4.0,380,"22,449",Kafr Kanna
17.21,16.7%,0.0%,3.0,7.0,633,"40,666",Shefa-'Amr
15.35,0.0%,0.0%,0.0,1.0,72,"6,514",Jan-Jat
15.04,0.0%,0.0%,0.0,1.0,69,"6,648",Tuba-Zangaria
12.83,0.0%,0.0%,1.0,1.0,124,"7,792",Abu Ghosh
12.13,0.0%,0.0%,0.0,1.0,248,"8,243",Rama
11.84,0.0%,0.0%,0.0,1.0,31,"8,446",Abu Rubiya
11.7,0.0%,0.0%,0.0,1.0,174,"8,550",(Tribe) as Sasr-smiye
11.59,200.0%,0.0%,0.0,3.0,492,"25,876",Arraba
11.45,100.0%,100.0%,0.0,2.0,152,"17,465",Ar'arat an-Naqab
10.49,0.0%,0.0%,0.0,2.0,241,"19,058",Beit She'an
10.17,0.0%,0.0%,1.0,2.0,567,"19,667",Ar'ara
9.74,0.0%,0.0%,0.0,2.0,276,"20,524",Jadeida-acquaintance
9.02,0.0%,0.0%,1.0,1.0,142,"11,089",Majdal Shams
6.01,0.0%,0.0%,0.0,1.0,31,"16,644",From Saudi Arabia to
5.04,0.0%,0.0%,0.0,1.0,88,"19,850",Azazma Tel Sheva
5.00,0.0%,1  .,0,1,179,"20,003",Kafr Manda
4.40,0.0%,0.0%,1.0,1.0,420.0,"22,740",Clanswa
-,0.0%,0.0%,0.0,0.0,221.0,"16,993",Daliyat al-Karmel
-,0.0%,0.0%,0.0,0.0,70.0,"16,983",Hura
-,0.0%,0.0%,0.0,0.0,172.0,"16,614",Reina
-,0.0%,0.0%,0.0,0.0,183.0,"15,418",Yarka
-,0.0%,0.0%,0.0,0.0,98.0,"14,695",Lakiya
-,0.0%,0.0%,0.0,0.0,140.0,"14,398",Tur'an
-,0.0%,0.0%,0.0,0.0,138.0,"13,062",I'billin
-,0.0%,0.0%,0.0,0.0,110.0,"11,757",Beit Jan
-,0.0%,0.0%,0.0,0.0,45.0,"10,310",Shaqib al-Salam
-,0.0%,0.0%,0.0,0.0,25.0,"10,149",Self (tribe)
-,0.0%,0.0%,0.0,0.0,28.0,"9,696",Abu Rukake (tribe)
-,0.0%,0.0%,0.0,0.0,70.0,"8,649",Mashhad
-,0.0%,0.0%,0.0,0.0,67.0,"8,385",Zarzir
-,0.0%,0.0%,0.0,0.0,14.0,"6,235",Abu Qrenat
-,0.0%,0.0%,0.0,0.0,48.0,"5,780",(Tribe) as Abaya-Tabash-Hajjara
