"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
0,0,0.0%,3,Less than 15,274,"6,926",Zemer
0,0,0.0%,5,Less than 15,449,"6,837",Bnei Aish
0,0,0.0%,-,Less than 15,88,"6,648",Tuba-Zangaria
0,0,0.0%,2,Less than 15,109,"6,586",Buq'ata
0,0,0.0%,5,Less than 15,186,"6,533",Beit Dagan
0,0.1,0.0%,-,Less than 15,209,"6,514",Jan-Jat
0,0,0.0%,5,Less than 15,245,"6,478",Shlomi
0,0,0.0%,6,Less than 15,309,"6,367",ShibliUmm al-Ghanam
0,0,0.0%,1,Less than 15,293,"6,288",Hurfeish
0,0,0.0%,5,Less than 15,277,"6,178",Lehavim
0,0,0.0%,1,Less than 15,119,"6,147",Jules
0,0,0.0%,1,Less than 15,555,"6,027",Pardesiya
0,0,0.0%,2,Less than 15,196,"5,954",Tzur Itzhak
0,0,0.0%,8,Less than 15,182,"5,767",Beit El
0,0,0.0%,6,Less than 15,470,"5,677",Eilabun
0,0,0.0%,3,Less than 15,157,"5,599",Kfar Vradim
0,0,0.0%,1,Less than 15,147,"5,584",Sha'arei Tikva
0,0,0.0%,7,Less than 15,208,"5,299",Geva Binyamin
0,0,0.0%,-,Less than 15,159,"5,272",Caesarea Maritima
0,0,0.0%,1,Less than 15,189,"5,124",Bat Hefer
0,0,0.0%,3,Less than 15,206,"4,981",Beit Aryeh-Ofarim
0,0,0.0%,-,0,322,"20,003",Kafr Manda
0,0,0.0%,-,0,247,"16,993",Daliyat al-Karmel
0,0,0.0%,-,0,211,"16,614",Reina
0,0,0.0%,-,0,258,"14,398",Tur'an
0,0,0.0%,-,0,296,"13,062",I'billin
0,0,0.0%,-,0,191,"11,757",Beit Jan
0,0,0.0%,-,0,100,"10,310",Shaqib al-Salam
0,0,0.0%,-,0,43,"10,149",Self (tribe)
0,0,0.0%,-,0,55,"9,696",Abu Rukake (tribe)
0,0,0.0%,-,0,100,"8,649",Mashhad
0,0,0.0%,-,0,182,"8,550",Kisra-Sumei
0,0,0.0%,-,0,104,"8,385",Zarzir
0 0.0,0.1,0.0% 0.0%,- -,0.2,26 57.0,"6,235 5,780",Abu Qurinath (tribe) as Abia-Tabash-Hajjara
